"pair"
"CDC24, RNA1"
"CDC24, NOP8"
"CDC24, GLN4"
"ALA1, CDC24"
"CDC24, KRE5"
"CDC24, PRT1"
"CDC24, CET1"
"CDC24, SRP54"
"CDC24, RDS3"
"CDC24, SEC23"
"CDC24, DPM1"
"CDC24, PRE7"
"CDC24, MAK5"
"CDC24, ENP1"
"CDC24, RSC6"
"CDC24, PRP9"
"CDC24, FAD1"
"CDC24, RPN5"
"CDC24, TIM22"
"CDC24, DOP1"
"CDC24, SNU56"
"CDC24, RRP45"
"CDC24, RPN11"
"CDC24, PRP43"
"CDC24, SDA1"
"BRL1, CDC24"
"CDC24, IPI1"
"CDC24, GPI16"
"CDC24, MCM10"
"CDC24, RPC17"
"CDC24, NUP192"
"CDC24, PRP21"
"CDC24, HYS2"
"CDC24, ORC3"
"CDC24, CLF1"
"CDC24, NOP56"
"CDC24, ORC1"
"CDC24, PDS5"
"CDC24, DCP2"
"CDC24, RIB2"
"CDC24, RFC4"
"CDC24, RPO31"
"CDC24, DFR1"
"CDC24, MRS6"
"CDC24, TFC8"
"CDC24, RVB2"
"CDC24, SEC8"
"CDC24, SPN1"
"CDC24, LSM2"
"CDC24, ORC2"
"CDC24, RPN6"
"CDC24, SNU23"
"CDC24, CWC2"
"CDC24, PDS1"
"CDC24, FCF1"
"CDC24, SNM1"
"CDC20, CDC24"
"CDC24, SPT16"
"CDC24, CIA2"
"CDC24, PRI1"
"CDC24, TAH11"
"CDC24, FIP1"
"CDC24, RSC4"
"CDC24, DAD2"
"APC2, CDC24"
"CDC24, GSP1"
"CDC24, YLR317W"
"CDC24, CEP3"
"CDC24, CEF1"
"CDC24, RRP5"
"CDC24, GPI15"
"CDC24, GCD10"
"CDC24, TIM23"
"CDC24, MGE1"
"CDC24, GPN2"
"CDC24, GPI2"
"CDC24, HRR25"
"CDC24, IPL1"
"CDC24, NSL1"
"CCL1, CDC24"
"PTA1, STU1"
"AAR2, PTA1"
"ILS1, PTA1"
"CDC27, PTA1"
"BRN1, PTA1"
"PKC1, PTA1"
"GPI18, PTA1"
"CDS1, PTA1"
"PTA1, SLI15"
"POP7, PTA1"
"MED8, PTA1"
"PTA1, TAF5"
"CDC7, PTA1"
"PRP11, PTA1"
"LUC7, PTA1"
"PTA1, RPN6"
"PTA1, QRI1"
"NSE4, PTA1"
"PTA1, RRP42"
"CDC48, PTA1"
"PTA1, RPO21"
"PTA1, RPN5"
"NUS1, PTA1"
"GLE1, PTA1"
"DBF4, PTA1"
"MAK21, PTA1"
"PTA1, RPS13"
"PTA1, RRP1"
"PTA1, SLU7"
"PTA1, TAF12"
"PTA1, SEC1"
"PTA1, SEC5"
"PTA1, SUP35"
"CDC1, PTA1"
"PTA1, TCP1"
"PTA1, SEC26"
"PTA1, TRS23"
"PTA1, SRP101"
"GPI11, PTA1"
"PTA1, SYF1"
"GPI17, PTA1"
"GUK1, PTA1"
"PTA1, TSC11"
"GDI1, PTA1"
"COG3, PTA1"
"CCA1, PTA1"
"PTA1, SEC4"
"PTA1, SMC1"
"MOB2, PTA1"
"ACT1, PTA1"
"CDC14, PTA1"
"PTA1, RPN12"
"PTA1, STT3"
"PTA1, RNA15"
"NBP35, PTA1"
"PTA1, SPC105"
"CEG1, PTA1"
"PTA1, SEC27"
"PTA1, TIP20"
"PRP31, PTA1"
"PTA1, TEL2"
"PTA1, YIP1"
"PTA1, TYS1"
"PTA1, SKI6"
"BRL1, PTA1"
"MED6, PTA1"
"CDC12, PTA1"
"CTF8, PTA1"
"CAB2, PTA1"
"PTA1, RHO3"
"MCM10, PTA1"
"NUP192, PTA1"
"PSF2, PTA1"
"PTA1, SMC3"
"ARP4, PTA1"
"KRE9, PTA1"
"CDC6, PTA1"
"PRP21, PTA1"
"ESS1, PTA1"
"CDC8, PTA1"
"FIP1, PTA1"
"PTA1, YJR141W"
"PTA1, SWD2"
"PRI2, PTA1"
"ASK1, PTA1"
"PTA1, RPT1"
"NTR2, PTA1"
"BET3, PTA1"
"ORC3, PTA1"
"PTA1, SOF1"
"COF1, PTA1"
"NSE1, PTA1"
"PAM18, PTA1"
"PTA1, STU2"
"PTA1, SPC3"
"GAA1, PTA1"
"CDC45, PTA1"
"CFT2, PTA1"
"CDC123, PTA1"
"PTA1, UTP13"
"CDC46, PTA1"
"CDC3, PTA1"
"PTA1, TAD3"
"PTA1, SEN1"
"PTA1, TAF11"
"PTA1, RSE1"
"POB3, PTA1"
"PTA1, RSC9"
"ERB1, PTA1"
"PDS5, PTA1"
"CTF13, PTA1"
"PTA1, ROT1"
"PTA1, RNA1"
"PTA1, RNT1"
"PRP24, PTA1"
"GPI12, PTA1"
"LCB1, PTA1"
"LIP1, PTA1"
"LST8, PTA1"
"POL1, PTA1"
"PTA1, TIM23"
"NOG2, PTA1"
"PTA1, RIB2"
"PTA1, TPT1"
"HRP1, PTA1"
"PTA1, UTP23"
"HSP10, PTA1"
"PTA1, RAT1"
"PFY1, PTA1"
"PTA1, SMP3"
"GLN4, PTA1"
"MGE1, PTA1"
"DFR1, PTA1"
"APC5, PTA1"
"CLP1, PTA1"
"PTA1, SEC63"
"PTA1, RPT4"
"PTA1, TFC8"
"CDC60, PTA1"
"IPL1, PTA1"
"NIP7, PTA1"
"CCL1, PTA1"
"PTA1, RPN7"
"PTA1, SPN1"
"PTA1, SEC23"
"DPM1, PTA1"
"PTA1, RPC82"
"CDC15, STU1"
"CDC15, ILS1"
"CDC15, CDC27"
"BRN1, CDC15"
"CDC15, GPI18"
"CDC15, IPP1"
"CDC15, TSC3"
"CDC15, ORC2"
"CDC15, SEC18"
"CDC15, KRR1"
"CDC15, RSC6"
"APC11, CDC15"
"CDC15, TSC13"
"ARP2, CDC15"
"CDC15, PRP9"
"CDC15, PRP11"
"CDC15, RPN6"
"CDC15, SNU23"
"CDC15, QRI1"
"CDC15, NSE4"
"CDC15, RRP42"
"CDC15, RPN5"
"CDC15, GLE1"
"CDC15, NHP2"
"CDC15, CWC2"
"CDC15, TIM22"
"CDC15, YRB1"
"CDC15, PSF1"
"CDC15, FAL1"
"CDC15, HEM13"
"CDC15, DBF4"
"CDC15, MAK21"
"CDC15, SLU7"
"APC4, CDC15"
"CDC15, SEC5"
"CDC15, CDC37"
"CDC15, SCC2"
"CDC1, CDC15"
"CDC15, TCP1"
"CDC15, PCF11"
"CDC15, TRS23"
"CDC15, RRP45"
"CDC15, NSE3"
"CDC15, SRP101"
"CDC15, TFB1"
"CDC15, YCG1"
"CDC15, FCF1"
"CDC15, SPC110"
"CDC15, FRQ1"
"CDC15, UTP5"
"CDC15, UTP6"
"CDC15, SLD5"
"CAB1, CDC15"
"CDC15, TSC11"
"CDC15, GDI1"
"CDC15, COG3"
"CCA1, CDC15"
"CDC15, MOB2"
"ACT1, CDC15"
"CDC15, RPN11"
"CDC14, CDC15"
"CDC15, RSC8"
"CDC15, RPN12"
"CDC15, STT3"
"CDC15, RNA15"
"CDC15, RPT6"
"CDC15, HSF1"
"CDC15, USE1"
"CDC15, TAF6"
"CDC15, CDC20"
"CDC15, CEG1"
"CDC15, GPI10"
"CDC15, SPT16"
"CDC15, PRP18"
"CDC15, SNU71"
"CDC15, PRP31"
"CDC15, DBF2"
"CDC15, DAM1"
"CBF2, CDC15"
"CDC15, YIP1"
"CDC15, SKI6"
"CDC15, MES1"
"BRL1, CDC15"
"CDC15, RRP4"
"CDC15, DNA2"
"CDC15, CDC23"
"CDC15, NEO1"
"CDC15, MOB1"
"CDC15, SLN1"
"CDC15, PRE3"
"CDC15, MTR4"
"CDC15, PSF2"
"ARP4, CDC15"
"CDC15, EXO70"
"CDC15, PHS1"
"CDC15, TAH11"
"CDC11, CDC15"
"CDC15, YJR141W"
"CDC15, MAK11"
"ASK1, CDC15"
"CDC15, GFA1"
"ABF1, CDC15"
"CDC15, RPT1"
"CDC15, SNU114"
"CDC15, RSC4"
"CDC15, GRC3"
"CDC15, PRP19"
"CDC15, SSL1"
"CDC15, SMC4"
"CDC15, CFT2"
"CDC15, MSL5"
"CDC15, EMG1"
"CDC15, SEC13"
"CDC15, GSP1"
"CDC15, KAP95"
"CDC15, SEC39"
"CDC15, GAB1"
"CDC15, NSE5"
"CDC15, ORC1"
"CDC15, POB3"
"CDC15, TAF13"
"CDC15, RSC9"
"ARP9, CDC15"
"CDC15, RNA14"
"CDC15, PDS5"
"CDC15, RNT1"
"CDC15, GPI12"
"CDC15, LCB1"
"CDC15, GPI15"
"CDC15, NOP2"
"CDC15, GCD10"
"CDC15, POL1"
"CDC15, SRV2"
"CDC15, PRP2"
"CDC15, TIM23"
"ARC35, CDC15"
"CDC15, DIS3"
"BRX1, CDC15"
"CDC15, HRP1"
"CDC15, MED7"
"CDC15, CDC21"
"CDC15, RPO31"
"CDC15, PFY1"
"CDC15, SMP3"
"CDC15, TOA1"
"CDC15, DED1"
"APC5, CDC15"
"CDC15, RPT4"
"ALA1, CDC15"
"CDC15, TFC8"
"CDC15, GPI2"
"CDC15, SEC16"
"CDC15, TBF1"
"CDC15, IPL1"
"CDC15, NIP7"
"CDC15, RVB2"
"CCL1, CDC15"
"ARP7, CDC15"
"ASA1, CDC15"
"CDC15, RPN7"
"CDC15, SPN1"
"CDC15, PRP4"
"MCM2, RFA1"
"CDC28, MCM2"
"CDC47, MCM2"
"MCD1, MCM2"
"CDC7, MCM2"
"MCM2, MPS1"
"MCM2, PRP11"
"FAD1, MCM2"
"MCM2, RPN6"
"CDC2, MCM2"
"MCM2, QRI1"
"MCM2, NSE4"
"MCM2, RPO21"
"COP1, MCM2"
"MCM2, RPN5"
"MCM2, NOP14"
"MCM2, RPC11"
"DBF4, MCM2"
"MAK21, MCM2"
"LCB2, MCM2"
"MCM2, RRP1"
"MCM2, SLU7"
"MCM2, RLI1"
"MCM2, PDS1"
"APC4, MCM2"
"MCM2, TAF12"
"MCM2, SUP35"
"CDC1, MCM2"
"CAB5, MCM2"
"MCM2, MSS4"
"MCM2, PCF11"
"MCM2, RRP45"
"GPI11, MCM2"
"MCM2, YCG1"
"FRQ1, MCM2"
"MCM2, TFB3"
"MCM2, TSC11"
"MCM2, RSP5"
"COG3, MCM2"
"CCA1, MCM2"
"MCM2, SMC1"
"CDC4, MCM2"
"CAK1, MCM2"
"MCM2, MOB2"
"ACT1, MCM2"
"MCM2, RPN11"
"CDC14, MCM2"
"MCM2, PRE4"
"MCM2, RPN12"
"MCM2, STT3"
"MCM2, RPT6"
