from,to,weight,activation,EC50,n
MSN2,YNL077W,1,TRUE,0.502694734,1.674720826
MSN4,ALD2,1,TRUE,0.45968538,1.532443633
MSN4,ALD3,1,TRUE,0.513562004,1.508002567
MSN4,ARA1,1,TRUE,0.464888542,1.433381533
MSN4,CPH1,1,TRUE,0.567014895,1.447036034
MSN4,CTT1,1,TRUE,0.562885805,1.41975716
MSN4,DOG2,1,TRUE,0.597189718,1.566308323
MSN4,GDH3,1,TRUE,0.452107857,1.429502312
MSN4,GLK1,1,TRUE,0.537697173,1.494679188
MSN4,GLO1,1,TRUE,0.477233965,1.463208896
MSN4,GRE3,1,TRUE,0.461739386,1.577125194
MSN4,GRX1,1,TRUE,0.407865178,1.58245727
MSN4,HOR2,1,TRUE,0.566493954,1.477842476
MSN4,HSP104,1,TRUE,0.539279488,1.422940943
MSN4,HSP12,1,TRUE,0.425891722,1.431672317
MSN4,HSP26,1,TRUE,0.598836647,1.651765618
MSN4,HSP42,1,TRUE,0.552094825,1.445442233
MSN4,HSP78,1,TRUE,0.498013646,1.542030202
