"pathway","phnx_z_score","mean_path_score","sd_path_score"
"module 129",-1.68831031150239,0.20843195,0.0474628090902865
"module 137",1.24702893097511,0.58111158,0.0783128743642191
"module 165",-0.321513229604797,0.08425414,0.0313957220746646
"module 170",-0.928866748096087,0.07341696,0.0323156793603886
"module 176",-1.92668895678472,0.27179034,0.0538542246970453
"module 181",0.404047625452784,0.17311215,0.0439498932337499
"module 204",1.68214174771055,0.07475028,0.0291947572592143
"module 213",-1.00683702106061,0.0722555,0.0287688070602404
"module 242",0.399199575667799,0.12344298,0.0369414721329063
"module 321",0.461788252844738,0.07312691,0.0286994957501788
"module 379",0.677749987224103,0.11109445,0.033516120144889
"module 4",-0.252462359827175,0.00367625,0.0065207740319268
"module 14",-0.444533583421566,0.01325785,0.0124126729808111
"module 22",-0.244670841473551,0.00374986,0.00735625050030561
"module 25",0,0,0
"module 27",-0.821686648187652,0.31448645,0.0608096165493358
"module 28",-0.133754266343517,0.00295613,0.00505501632571117
"module 29",0,0,0
"module 32",-0.439602334537552,0.01393822,0.0123252757647427
"module 39",0,0,0
"module 40",-1.06700515662904,0.07655051,0.0293911513034073
"module 42",0,0,0
"module 43",-0.839765293584226,0.04992058,0.0257578875493626
"module 46",-1.80018513593364,0.36658146,0.0613333916584846
"module 50",0,0,0
"module 51",0.136768506912618,0.027723,0.0177453132653603
"module 54",0.0816704604428198,0.34320313,0.0620404240716574
"module 57",-1.07683944433848,0.09243903,0.0346282170439135
"module 58",-0.629656450601512,0.01663123,0.013421970015437
"module 62",-0.300636100303422,0.00693843,0.00960772840349114
"module 63",-1.20507905916878,0.22409249,0.0542059788550781
"module 64",-2.47815662814516,0.49205016,0.0711497239510528
"module 73",-0.537406044697907,0.01855147,0.0154100797371107
"module 75",-1.89507239309932,0.37086545,0.0595626058460999
"module 76",-0.0695905549097109,0.12385807,0.039058030267563
"module 77",0,0,0
"module 78",-0.531999435802177,0.02506368,0.0182776133687776
"module 80",0.0870056115483371,0.02852368,0.0186921276807127
"module 81",-0.212843172687754,0.00365743,0.00703536778319297
"module 82",-0.226341527259007,0.00354484,0.00669271793976427
"module 83",-0.597774669426104,0.02807381,0.0188596315244061
"module 85",-0.99063452677337,0.06643192,0.029043930150218
"module 86",-0.237150159463574,0.00363755,0.00703162082526929
"module 87",0,0,0
"module 91",-0.16379441990218,0.00323786,0.00584794036678444
"module 92",-1.0050688490803,0.18468295,0.0444775002636942
"module 93",-1.41395104597097,0.14130422,0.0419563464867072
"module 96",-0.553974207172743,0.02410867,0.016947846810262
"module 98",6.4869761123497,0.20870579,0.0491576050962972
"module 101",-0.37173166396733,0.00702249,0.00872266291602474
"module 103",0,0,0
"module 106",-0.223434633244997,0.00323749,0.00594129021414688
"module 107",-1.22256171992643,0.10522629,0.0352917069925897
"module 108",-0.227768302434698,0.0824523,0.0308308922924572
"module 109",-0.801518293913525,0.04969212,0.0247806196699771
"module 114",-0.596248700997879,0.03397478,0.0198822739238843
"module 115",-0.317107068496933,0.00748135,0.0101585562733401
"module 116",-0.212100747037664,0.0034456,0.00657989195932523
"module 119",0.738962461782257,0.05907927,0.0253338037697458
"module 121",-0.370534457586134,0.0919927,0.0346059583325506
"module 122",-1.79743381470656,0.20158692,0.0465535472379331
"module 123",8.21914445467106,0.14374095,0.040215748953305
"module 124",0.925352945493562,0.07131497,0.0285350904523421
