gene,influence
GDAP1,1.58E-03
GFI1B,2.25E-02
GFM1,2.18E-03
GFRA1,1.86E-03
GGH,2.13E-03
GGT5,1.88E-03
GHR,2.13E-03
GHRH,1.91E-03
GINS1,2.27E-03
GINS4,2.01E-03
GIPC2,1.91E-03
GJA1,2.08E-03
GJB3,2.30E-03
GJC1,1.78E-03
GLDC,2.11E-03
GLI2,3.71E-02
GLRA3,1.86E-03
GLRB,2.54E-03
GLS2,1.97E-03
GLT8D2,2.39E-03
GLUL,1.91E-03
GM2A,2.25E-03
GNA14,2.08E-03
GNG13,1.82E-03
GNG4,2.17E-03
GNGT1,1.83E-03
GNLY,1.56E-03
GNMT,1.66E-03
GNRH1,2.24E-03
GOLGA2P5,1.81E-03
GOLM1,2.11E-03
GP1BB /// SEPT5 /// SEPT5-GP1BB,1.69E-03
GP2,2.01E-03
GPC1,2.02E-03
GPC3,1.99E-03
GPD1,2.24E-03
GPD1L,1.99E-03
GPER1,1.81E-03
GPM6A,2.19E-03
GPM6B,2.37E-03
GPR137,2.28E-03
GPR143,1.67E-03
GPR171,2.27E-03
GPR18,1.97E-03
GPR19,1.79E-03
GPR37,1.71E-03
GPR39,1.54E-03
GPR85,2.43E-03
GPR87,1.83E-03
GPR88,1.86E-03
GPRC5A,1.60E-03
GPRC5C,1.95E-03
GPSM2,2.24E-03
GPX2,2.27E-03
GRAMD1C,2.50E-03
GRB14,2.16E-03
GRB7,1.99E-03
GREB1,2.31E-03
GREB1L,2.56E-03
GREM1,1.66E-03
GREM2,1.84E-03
GRIA2,1.98E-03
GRIA4,1.65E-03
GRK4,2.01E-03
GRP,1.77E-03
GRTP1,2.48E-03
GSC2,1.64E-02
GSDMB,2.53E-03
GSTA1,2.48E-03
GSTM1,2.26E-03
GSTM3,2.58E-03
GSTM4,1.99E-03
GSTP1,1.79E-03
GSTT2,1.70E-03
GTF2A1L /// STON1-GTF2A1L,2.30E-03
GTSE1,2.19E-03
GUSBP3 /// SMA4 /// SMA5,1.91E-03
GYPE,1.77E-03
GZMB,2.52E-03
GZMH,2.20E-03
GZMK,2.28E-03
H2AFY2,2.24E-03
HAND2-AS1,1.78E-03
HAPLN1,1.75E-03
HAUS6,1.93E-03
HBA1 /// HBA2,2.27E-03
HBB,2.12E-03
HBD,1.97E-03
HCFC1R1,1.94E-03
HCG4,2.19E-03
HDAC11,2.03E-03
HELLS,1.78E-03
HEMK1,1.99E-03
HEPH,1.68E-03
HEXA-AS1,2.51E-03
HEY1,2.29E-02
HGD,2.26E-03
HGF,1.55E-03
HIC1,3.01E-02
HIGD1B,2.09E-03
HIST1H1C,2.16E-03
HIST1H2AC,1.89E-03
HIST1H2AD /// HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J,2.12E-03
HIST1H2AE,2.59E-03
HIST1H2AG /// HIST1H2AH /// HIST1H2AI /// HIST1H2AK /// HIST1H2AL /// HIST1H2AM,2.35E-03
HIST1H2APS4 /// HIST1H2APS4,2.21E-03
HIST1H2BG /// HIST1H2BJ,2.40E-03
HIST1H2BJ,2.12E-03
HIST1H2BM,2.55E-03
HIST1H2BO,2.11E-03
HIST1H3G,2.15E-03
HIST1H4I,2.16E-03
