"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"SWI5",0.000680005390823093,0.000780518592688753,0.000452497135532881,0.000461214723762846,0.000404553853593871,0.00044090227136438,0.000930343499793146,0.000722279983229368,0.00101017684260345,0.000491631468529
"IME1_UME6",0.000130794646221617,0.000353570777864658,0.000541736084079586,0.000746412789023384,0.000646496525393591,0.000333405027595954,0.000429662271459431,0.000327739421016126,0.00042901074736029,0.000703723581222314
"SNF2_SWI1",0.000445383220433842,0.000559651871129729,2.51033829283363e-05,0.00263462832999398,0.000614859955599997,0.00110803476689948,0.00158046820544172,0.00134142805863203,0.00251227535881779,0.000568317173736187
"FUS1",0.000334925496131995,1.73119129476868e-05,0.0003798390674622,0.000609311793486881,4.3409657045773e-05,0.000393679362990984,0.000389492160853941,0.000514577061178502,0.000387606431784067,0.000484519298202094
"ACS1",5.89140252542588e-05,0.00027200894420263,0.000641728352742349,0.000323355759206062,0.000435727381818766,0.000235216069746155,0.000117438405838733,0.000161510599600629,0.000185266555253777,0.000335522587243236
"ADH1",0.000599464668836883,0.000290879827905114,0.000479269444168817,0.000183142346327299,0.000227784627519077,0.000692976281683718,0.000641519148782428,0.000643410090576437,0.000687965073703718,0.000225388473543208
"CDC19",0.000126103062029168,0.000427750998242697,0.00023448997627871,0.000106380611983917,0.000304651874887745,0.000366161198153947,0.000332699531301079,0.000288041059758463,0.000120886312678811,0.000320961112854615
"COX6",0.000340593528919632,0.00015963202001195,0.000835908720370996,0.000309757488454944,0.000504238339326912,0.000471767064514136,0.000243882348408394,0.000224234420472542,0.000342060199967261,0.000442240759293972
"DED1",9.52923741352874e-05,0.000542247209242169,0.000580848940062789,0.000933947244979643,0.000264484491109414,2.90363918676102e-05,0.000662124562093918,0.000524287066827307,0.00071068132027255,1.4085967018365e-05
"PGK1",0.000407639824974479,0.000326962147621235,2.73698248749003e-05,0.00052636562982479,0.000401150081465537,0.000457037572433113,0.000353524031275451,0.000320401409896799,0.000551203852679528,0.000431360749402398
"POT1",0.000294433908238569,3.41690560825738e-05,7.7991512012644e-05,0.000165362675506097,0.000307406162489875,0.000174378638132287,0.000240711017634488,0.000187379752853996,0.000174239227058987,0.00052949692239092
"QCR8",0.000445816937417389,0.000272639941571312,0.000609027317620119,4.20597066800401e-05,0.000121524257147362,5.80072698426521e-05,0.000382182893498449,0.000528509433544538,0.00069095098999965,8.83940912940029e-05
"RPL4A",0.000285887468812326,0.000643913755000787,0.000245395681846844,0.000744187091669925,0.000316614335797017,0.000492784815985459,0.000215021347735808,0.00068319099459782,6.73644545433894e-05,2.71390962228111e-05
"RPL4B",0.000140552790356456,4.6348649831891e-05,0.000397774449672356,0.00064939855040344,0.000110437237954027,0.000570336270184169,0.000326669619510248,0.000505953409573139,8.84533108022604e-05,0.000484830421035214
"SPR3",0.000617581896570128,0.000577016421063489,0.000950878707746165,0.000994491578419485,0.000595902122879546,0.000528528993646667,0.000291927057910592,0.000126075130665846,0.000476997647833713,0.000388979641504687
"TUB2",0.000647628922411565,0.000608950143175027,0.000711404745725233,0.000419450944797259,3.78362863772261e-05,0.00034335489815663,0.000383070160707225,0.000758184835173635,0.000208852712473272,0.000156766424232592
"CDC6",0.000295202528151018,0.000213806150672688,0.000497699285412289,0.000419556841067207,3.1118965352606e-05,0.000388140195029062,0.000260088890253172,0.000376423509500342,4.90195910781673e-05,0.000506939821384803
"CTS1",0.000391062813704531,0.000384418465065133,0.000184602847051124,0.000431775896349474,0.000485522008498237,0.000193456967951725,0.000475103384179492,9.02861169101977e-05,0.000389616333861032,0.00044436280362971
"EGT2",2.10891830760251e-05,0.000269458155031796,0.000319887511128113,4.43536109351812e-05,0.000374173715443368,9.9790794065303e-05,0.000410319482788307,0.000314601538320969,0.000169173971927616,8.50394368041918e-05
"HO",0.000632149904483825,0.000699540811299296,0.000267926070634862,0.000469763958605237,8.63467642437523e-05,0.000570540500108845,0.00038245184916274,0.000326443014459119,0.000410471984719254,0.000407411499791136
"ADH2",0.000429158350159815,0.000270814128763307,0.000493738687556689,0.000359780932557694,0.000330904614933945,0.000523058055364383,0.000132360527093162,1.72590674356931e-05,3.97209587768125e-05,0.000207128899688828
"CTA1",7.49878397447085e-05,0.000254089333634542,0.000326343703429553,0.000332274920382976,0.000119937800762148,5.10168194581109e-05,0.000283243014852159,8.91101068218892e-05,0.0003481467172127,0.000442345812758936
"FOX2",0.000371522740443837,0.000163970785854546,0.000124306132079381,8.62725646797004e-05,0.000464913294415432,0.000233810553490689,0.000438549434342998,0.00044537188139549,9.67913851758506e-05,0.000421151644373863
"GUT1",0.000527928629291583,0.000243192435631747,0.000506786503155285,2.34338438174754e-05,0.000252686993482084,0.00036300901318886,0.00039770983810468,0.000527139459748025,0.000234897219095017,0.000349739347061339
"PEX1",0.000127123548992775,0.000203799569695547,0.000351143230864016,0.000517789680943968,0.00013140624597767,0.0002667130925868,0.000443224816315226,4.15308542931977e-05,8.20368279301288e-05,0.000497928504882472
"MFALPHA1",4.74082330864826e-05,0.000508643828191722,0.000628693281842115,0.000635980778233594,0.000380217565086444,0.000413372933752606,0.000201695284847764,0.000200398377362947,0.00045284872821408,0.000145544850225483
"STE3",0.000709821316653064,0.000601959836911557,0.000639550563253534,0.000530788043849793,0.00042091048500776,1.85943528728344e-05,0.000332856321546025,0.000488229722653779,2.32119682543904e-05,0.000432358709243572
"STE6",0.000363723805812924,0.000555924293709183,0.000202416036617134,0.000588603399203415,0.000350521640659722,0.000283437108491288,0.0002317839409455,0.000105298993014357,0.000271523128860364,0.000315517617551717
