"sample","gene","early2cell","mid2cell","late2cell","4cell","8cell","16cell","earlyblast","midblast","lateblast"
"prcntl_0.5","Rpl10a",-0.921034037197618,0.409334011575627,0.562293326641322,0.583245730708999,0.672991288105227,0.654569109825769,0.590837306985112,0.607682320825841,0.610529859048357
"prcntl_0.5","Taldo1",0.249630742277917,0.448343956259334,0.433404689733883,0.605677632267915,0.666100351002402,0.584748608536163,0.647252054244249,0.5941161802046,0.603368533357607
"prcntl_0.5","Akr1c6",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Ube2d2",0.657242839406277,0.728338536891011,0.639369819044167,0.51589305700741,0.270470832654131,0.345003263997356,0.336533734784966,0.462803225656805,0.321188098138333
"prcntl_0.5","Rbbp7",0.681366723906114,0.564056976631142,0.485561637365051,0.517475474187404,0.562091924383599,0.517862449818099,0.619550858682167,0.539705708462551,0.491414020593988
"prcntl_0.5","Pcolce",-0.921034037197618,-0.921034037197618,-0.282769879749534,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.228326750068087
"prcntl_0.5","Ssr4",-0.921034037197618,0.0246350976314412,0.370053345898161,0.537731638628413,0.630394179909667,0.639444449323426,0.596206477191479,0.477838067755285,0.578740654266074
"prcntl_0.5","Map1lc3a",0.154399040928206,0.477582800100472,0.54826644717788,0.63375407387932,0.595307127686857,0.616750516222878,0.444356917994847,-0.921034037197618,0.339166780338281
"prcntl_0.5","Pou5f1",0.500078064618553,0.435136050180608,0.32021912025282,0.274700782981207,0.569309174106456,0.665261302690405,0.592429887220605,0.474860325644066,0.10005393550864
"prcntl_0.5","Mrpl42",0.357546620207887,0.508924113805537,0.476335387677696,0.44902936479887,0.582609933145463,0.571888796108594,0.652819358626133,0.586058710856974,0.628181865651851
"prcntl_0.5","Lrpap1",-0.250084509191024,0.221974714172681,0.0890901753234217,0.496185107985912,0.596120783148381,0.654141970407337,0.572642070406856,0.540149896924019,0.613351392046915
"prcntl_0.5","Pgam1",0.354556550231733,0.54566175634432,0.589124201409046,0.552648366300438,0.675471115167492,0.588920289195728,0.689356854744851,0.531820829959711,0.455396315444822
"prcntl_0.5","Polr2c",0.709163478936091,0.652104492214567,0.625613472938499,0.565309264935858,0.500690446773044,0.578565868280614,0.588386116922794,0.534315051839856,0.587427011848786
"prcntl_0.5","Slc5a6",0.065834547543665,0.427424349430136,0.480663093928053,0.550227373778357,0.587155900016766,0.58611175458489,0.451080497787525,0.479764940312282,0.421667543457432
"prcntl_0.5","Ncoa4",0.716665804749449,0.490747482801286,0.422501513132763,0.111317206709858,0.507230980224871,0.464838931771461,0.485697520721304,0.574531469569308,0.61269073516871
"prcntl_0.5","1810006K21Rik",0.288745116336453,0.419007026063055,0.361539663695241,0.554904328957536,0.552000468901551,0.659975548025283,0.594495882348977,0.605711639612382,0.652237689325838
"prcntl_0.5","Hn1",0.448683945371592,0.631775392575628,0.619572439141669,0.630135521348238,0.638250882097311,0.621309618854624,0.575695321592623,0.603304434729858,0.594496273727331
"prcntl_0.5","Pyy",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,0.618265457046874,-0.921034037197618,-0.921034037197618
"prcntl_0.5","Dnajb6",0.556482582022732,0.532868447418293,0.597928186457746,0.567906850238113,0.659108205320292,0.676174497300615,0.419580472910416,0.587921257274206,0.621356662871084
