"gene","early2cell","mid2cell","late2cell","4cell","8cell","16cell","earlyblast","midblast","lateblast"
"Hspa1a",-0.107267963294961,0.377423308857791,0.406345521411217,0.151251546196624,-0.214274114200377,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Hspa1b",-0.921034037197618,0.352674253545396,0.301161605884185,-0.0449562741480327,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Hspa2",0.0324045838101742,0.484242645055077,0.274255962628057,-0.127146649244293,-0.0982646394563188,-0.266575171933008,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Htt",0.00866248471119974,0.0140901034893306,0.0597542322500748,-0.14643204247576,0.0478293408873028,-0.282193427678974,-0.0681954577306162,0.130849896992348,0.0557925361168834
"Hus1",0.210416876915098,0.126662305707431,0.0603178173101059,0.0853987835481328,0.136583768412113,-0.00546335468308835,0.174185022519289,0.13637823525822,0.066886942504635
"Hus1b",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Hyal1",-0.921034037197618,-0.921034037197618,-0.370842434744669,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Id2",0.293471601994796,0.45267580641239,0.176748611709528,0.0347849830418407,-0.921034037197618,-0.921034037197618,0.656798099868379,0.632438701099601,0.734464814783743
"Id4",-0.279218779892995,-0.0341451942568182,-0.196976638209016,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Ier3",-0.203798481673444,-0.0587455834067575,-0.375554950473072,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Iffo1",0.0986000758037008,-0.921034037197618,0.154026434279365,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Igf1",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Igf1r",0.0227554441746208,-0.179351174582536,-0.199709739462555,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Igf2",-0.122936630749811,-0.921034037197618,-0.408342670736236,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.198305421747661
"Ik",0.463427375301707,0.458351022169895,0.479466337342805,0.417909945378015,0.431826748033776,0.39021385910473,0.456430008121524,0.460363134793792,0.453051282718362
"Il1a",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Il1b",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Ilkap",0.124310930122544,0.00164767599999228,-0.161075525180222,0.262389910914354,0.236242184338246,0.0253564338149975,0.108068309554423,0.300891740811035,0.172897900445404
"Incenp",0.324704623389895,0.382785097791997,0.434371706530685,0.450493055692447,0.310105917819997,0.290982806525775,0.211910735193338,0.247586962682839,0.179819270107745
"Ing2",0.0538586838720996,0.198629121339866,0.179012231913638,0.229853415074922,0.130431085369378,0.233698480183551,0.0931604277995945,0.0243737750997815,0.0620274540364023
"Inhba",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Ino80",0.226114154691053,0.268308384771975,0.297173506364737,0.31222655978608,0.251221755175463,0.173068443030813,0.0620046032510229,0.25314299313687,0.152863464410112
"Insc",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Insm1",0.359803653125071,0.191795936129766,-0.0146472176710135,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Insm2",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Insr",-0.262894086282086,-0.329483902768511,-0.543589445800278,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.349161975876531,-0.447788504633303,-0.921034037197618
"Ints3",0.317782332908665,0.323339089365048,0.333226122260274,0.399220419455145,0.315910083043468,0.3209301072303,0.253802394979959,0.333789127598502,0.324750944763599
"Ints7",0.0177194969878739,0.0616204023917088,0.247028354521284,0.352688667120765,0.278945683655399,0.262118112522366,0.191244228790161,0.262847240715842,0.102399153444464
"Iqgap3",0.292350909092995,0.0260726329309939,-0.196768511388824,0.166512260271424,0.266478906422189,0.227769512481992,0.109124077912404,0.295178992352635,0.13178091742393
"Itgb1",0.253999985070717,0.159746772275926,0.147523363147213,0.258011674450065,0.261803234342261,0.225654240983949,0.345621847530097,0.331304403599807,0.315404579574444
"Jtb",0.067248015091813,0.265526183535751,0.285124147764726,0.301336797337293,0.369316095292055,0.382341386662173,0.325276748878386,0.29127216657203,0.293661488779265
"Kank2",0.147953112347229,0.108620466955885,0.137804584415172,-0.0185666824706893,0.0416196634553864,-0.0999710212318366,-0.0654269073473074,-0.292135665543993,-0.921034037197618
"Kat2a",0.282906885935259,0.364616995483775,0.427464869752453,0.406307314795238,0.347165251355307,0.342488355892571,0.31823611135457,0.321519854660045,0.288588337659944
"Kat2b",0.234081273711024,0.206767150647173,0.225635038572885,0.260268268438284,0.0781222151080477,-0.218138675272234,0.0185897802169391,0.105134941673839,0.164426681852466
"Kcna5",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Kcnh5",0.0854962041113215,-0.337808945778209,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
"Kif2a",0.40180861773862,0.500641010220794,0.471822276836522,0.355850910450734,0.287990743324665,0.304507393547296,0.299394447070142,0.303537736366106,0.29337025209194
"Kif2b",-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618,-0.921034037197618
